Location Number,Location Name,Location Type,Address,City,State,Zip Code,Phone Number,County,Latitude,Longitude,Accuracy
AK0117-001,Hyder Public Library,Central Library,50 Main Street,Hyder,AK,99923,(250) 636-9169,Pr Wales-Outer,55.9569856,-130.0597374,ROUTE: GEOMETRIC_CENTER
AK0117,Hyder Public Library,Library System,50 Main Street,Hyder,AK,99923,(250) 636-9169,Pr Wales-Outer,55.9569856,-130.0597374,ROUTE: GEOMETRIC_CENTER
AK0126-001,Igiugig Tribal Library,Central Library,1 Airport Way,Igiugig,AK,99613,(907) 533-3211,Lake And Peninsula,59.3260995,-155.8985388,ROUTE: GEOMETRIC_CENTER
AK0126,Igiugig Tribal Library,Library System,1 Airport Way,Igiugig,AK,99613,(907) 533-3211,Lake And Peninsula,59.3260995,-155.8985388,ROUTE: GEOMETRIC_CENTER
AK0035-004,Juneau Public Libraries,Central Library,292 Marine Way,Juneau,AK,99801,(907) 586-5324,Juneau,58.2983054,-134.4040091,
AK0035,Juneau Public Libraries,Library System,292 Marine Way,Juneau,AK,99801,(907) 586-5324,Juneau,58.2983054,-134.4040091,
AK0094-007,Harold Kaveolook School/Community Library,Branch Library,2001 Barter Avenue,Kaktovik,AK,99747,(907) 640-6626,North Slope,70.1274186,-143.6129228,ROUTE: GEOMETRIC_CENTER
AK0037-002,Kasilof Public Library,Central Library,58200 Sterling Highway,Kasilof,AK,99610,(907) 260-3959,Kenai Peninsula,60.317946,-151.2604673,STREET_ADDRESS: RANGE_INTERPOLATED
AK0037,Kasilof Public Library,Library System,58200 Sterling Highway,Kasilof,AK,99610,(907) 260-3959,Kenai Peninsula,60.317946,-151.2604673,STREET_ADDRESS: RANGE_INTERPOLATED
AK0038-002,Kenai Community Library,Central Library,163 Main Street Loop,Kenai,AK,99611,(907) 283-4378,Kenai Peninsula,60.5588614,-151.2476557,STREET_ADDRESS: ROOFTOP
AK0038,Kenai Community Library,Library System,163 Main Street Loop,Kenai,AK,99611,(907) 283-4378,Kenai Peninsula,60.5588614,-151.2476557,STREET_ADDRESS: ROOFTOP
AK0085-004,Frances Kibble Kenny Lake Public Library,Central Library,Mile 5 Edgerton Highway,Kenny Lake,AK,99573,(907) 822-3015,Valdez-Cordova,61.6910915,-144.8351435,ROUTE: GEOMETRIC_CENTER
AK0085,Frances Kibble Kenny Lake Public Library,Library System,Mile 5 Edgerton Highway,Kenny Lake,AK,99573,(907) 822-3015,Valdez-Cordova,61.6910915,-144.8351435,ROUTE: GEOMETRIC_CENTER
AK0039-002,Ketchikan Public Library,Central Library,629 Dock Street,Ketchikan,AK,99901,(907) 225-3331,Ketchikan Gateway,55.3424866,-131.6434895,
AK0039,Ketchikan Public Library,Library System,629 Dock Street,Ketchikan,AK,99901,(907) 225-3331,Ketchikan Gateway,55.3424866,-131.6434895,
AK0137-001,Klukwan Community/School Library,Central Library,315 Mission Street,Klukwan,AK,99827,(907) 767-5551,Haines,59.3986714,-135.8944963,STREET_ADDRESS: RANGE_INTERPOLATED
AK0137,Klukwan Community/School Library,Library System,315 Mission Street,Klukwan,AK,99827,(907) 767-5551,Haines,59.3986714,-135.8944963,STREET_ADDRESS: RANGE_INTERPOLATED
AK0040-002,A. Holmes Johnson Memorial Library,Central Library,319 Lower Mill Bay Road,Kodiak,AK,99615,(907) 486-8688,Kodiak Island,57.7919954,-152.4040476,
AK0040,A. Holmes Johnson Memorial Library,Library System,319 Lower Mill Bay Road,Kodiak,AK,99615,(907) 486-8688,Kodiak Island,57.7919954,-152.4040476,
AK0041-002,Chukchi Consortium Library,Central Library,604 Third Street,Kotzebue,AK,99752,(907) 442-2410,Northwest Arctic,66.8988457,-162.5881955,STREET_ADDRESS: RANGE_INTERPOLATED
AK0041,Chukchi Consortium Library,Library System,604 Third Street,Kotzebue,AK,99752,(907) 442-2410,Northwest Arctic,66.8988457,-162.5881955,STREET_ADDRESS: RANGE_INTERPOLATED
AK0087-002,Koyuk Public Library,Central Library,3Rd And Birch Street,Koyuk,AK,99753,(907) 963-3971,Nome,64.9307904,-161.1648903,
AK0087,Koyuk Public Library,Library System,3Rd And Birch Street,Koyuk,AK,99753,(907) 963-3971,Nome,64.9307904,-161.1648903,
AK0124-001,Lake Minchumina Community Library,Central Library,123 Main Street,Lake Minchumina,AK,99757,(907) 674-3211,Yukon-Koyukuk,63.8827778,-152.3122222,
AK0124,Lake Minchumina Community Library,Library System,123 Main Street,Lake Minchumina,AK,99757,(907) 674-3211,Yukon-Koyukuk,63.8827778,-152.3122222,
AK0044,Mcgrath Community School Library,Library System,123 Chinana Avenue,Mcgrath,AK,99627,(907) 524-3843,Yukon-Koyukuk,62.9479431,-155.5885565,ROUTE: GEOMETRIC_CENTER
AK0044-002,Mcgrath Community School Library,Central Library,123 Chinana Avenue,Mcgrath,AK,99627,(907) 524-3843,Yukon-Koyukuk,62.9479431,-155.5885565,ROUTE: GEOMETRIC_CENTER
AK0046-002,Centennial Library,Central Library,4Th & Milton Street,Metlakatla,AK,99926,(907) 886-6000,Pr Wales-Outer Ke,55.1284703,-131.5752022,
AK0046,Centennial Library,Library System,4Th & Milton Street,Metlakatla,AK,99926,(907) 886-6000,Pr Wales-Outer Ke,55.1284703,-131.5752022,
AK0099-002,Moose Pass Public Library,Central Library,31810 Depot Road,Moose Pass,AK,99631,(907) 288-3111,Kenai Peninsula,60.4877288,-149.3696998,
AK0099,Moose Pass Public Library,Library System,31810 Depot Road,Moose Pass,AK,99631,(907) 288-3111,Kenai Peninsula,60.4877288,-149.3696998,
AK0047-004,Martin Monsen Regional Library,Central Library,101 Main Street,Naknek,AK,99633,(907) 246-4465,Bristol Bay,58.7283333,-157.0138889,LOCALITY: APPROXIMATE
AK0047,Martin Monsen Regional Library,Library System,101 Main Street,Naknek,AK,99633,(907) 246-4465,Bristol Bay,58.7283333,-157.0138889,
AK0048-002,Nenana Public Library,Central Library,201 East Second Street,Nenana,AK,99760,(907) 832-5812,Yukon-Koyukuk,64.5624225,-149.0918468,
AK0048,Nenana Public Library,Library System,201 East Second Street,Nenana,AK,99760,(907) 832-5812,Yukon-Koyukuk,64.5624225,-149.0918468,
AK0100-001,Nikolai Community/School Library,Central Library,Top Of The Kuskokwim School Buildin,Nikolai,AK,99691,(907) 293-2427,Yukon-Koyukuk,63.0134991,-154.3746471,ESTABLISHMENT: APPROXIMATE
AK0100,Nikolai Community/School Library,Library System,Top Of The Kuskokwim School Buildin,Nikolai,AK,99691,(907) 293-2427,Yukon-Koyukuk,63.0134991,-154.3746471,ESTABLISHMENT: APPROXIMATE
AK0051,Ninilchik Community Library,Library System,15850 Sterling Highway,Ninilchik,AK,99639,(907) 567-3333,Kenai Peninsula,60.0417565,-151.6744678,STREET_ADDRESS: ROOFTOP
AK0051-002,Ninilchik Community Library,Central Library,15850 Sterling Highway,Ninilchik,AK,99639,(907) 567-3333,Kenai Peninsula,60.0417565,-151.6744678,
AK0052-002,Kegoayah Kozga Library,Central Library,223 Front Street,Nome,AK,99762,(907) 443-6628,Nome,64.4975694,-165.4082908,STREET_ADDRESS: ROOFTOP
AK0052,Kegoayah Kozga Library,Library System,223 Front Street,Nome,AK,99762,(907) 443-6628,Nome,64.4975694,-165.4082908,STREET_ADDRESS: ROOFTOP
AK0023-003,North Pole Branch Library,Branch Library,601 Snowman Lane,North Pole,AK,99705,(907) 488-6101,Fairbanks North Star,64.748718,-147.3509048,
AK0053-002,Northway Community/School Library,Central Library,496 Northway Road,Northway,AK,99764,(907) 778-2310,Se Fairbank,62.9671104,-141.8899884,
AK0053,Northway Community/School Library,Library System,496 Northway Road,Northway,AK,99764,(907) 778-2310,Se Fairbank,62.9671104,-141.8899884,
AK0094-008,Nuiqsut School/Community Library,Branch Library,3310 3Rd Avenue,Nuiqsut,AK,99789,(907) 480-6712,North Slope,70.2188346,-150.9971881,ROUTE: GEOMETRIC_CENTER
AK0113-002,Ouzinkie Tribal Media Center,Central Library,216 Third Street,Ouzinkie,AK,99644,(907) 680-2323,Kodiak Island,57.9237915,-152.4981595,
AK0113,Ouzinkie Tribal Media Center,Library System,216 Third Street,Ouzinkie,AK,99644,(907) 680-2323,Kodiak Island,57.9237915,-152.4981595,
AK0055-002,Palmer Public Library,Central Library,655 South Valley Way,Palmer,AK,99645,(907) 761-1371,Matanuska-Susitna,61.5997154,-149.112166,
AK0055,Palmer Public Library,Library System,655 South Valley Way,Palmer,AK,99645,(907) 761-1371,Matanuska-Susitna,61.5997154,-149.112166,
AK0056,Pelican Public Library,Library System,166 Salmon Way,Pelican,AK,99832,(907) 735-2500,Skagway-Angoon,57.9596249,-136.2263261,ROUTE: GEOMETRIC_CENTER
AK0056-002,Pelican Public Library,Central Library,166 Salmon Way,Pelican,AK,99832,(907) 735-2500,Skagway-Angoon,57.9596249,-136.2263261,
AK0057-002,Petersburg Public Library,Central Library,12 Nordic Drive,Petersburg,AK,99833,(907) 772-3349,Wrangell-Petersbu,56.8120409,-132.9574044,
AK0057,Petersburg Public Library,Library System,12 Nordic Drive,Petersburg,AK,99833,(907) 772-3349,Wrangell-Petersbu,56.8120409,-132.9574044,
AK0133-001,Pilot Point Tribal Library,Central Library,2200 Main Street,Pilot Point,AK,99649,(907) 797-2208,Lake And Peninsula,57.5512384,-157.5758758,
AK0133,Pilot Point Tribal Library,Library System,2200 Main Street,Pilot Point,AK,99649,(907) 797-2208,Lake And Peninsula,57.5512384,-157.5758758,
AK0094-004,Tikigak School/Community Library,Branch Library,1837 Tikigaq Avenue,Point Hope,AK,99766,(907) 368-2662,North Slope,68.3494952,-166.7329587,
AK0094-009,Kali School/Community Library,Branch Library,1029 Qasigialik Street,Point Lay,AK,99759,(907) 833-2311,North Slope,69.7574999,-163.0511111,LOCALITY: APPROXIMATE
AK0058-002,Jessie Wakefield Memorial Library,Central Library,207 Spruce Drive,Port Lions,AK,99550,(907) 454-2288,Kodiak Island,57.866696,-152.883773,
AK0058,Jessie Wakefield Memorial Library,Library System,207 Spruce Drive,Port Lions,AK,99550,(907) 454-2288,Kodiak Island,57.866696,-152.883773,
AK0101-002,Sand Point Community/School Library,Central Library,123 Red Cove Road,Sand Point,AK,99661,(907) 383-2393,Aleutians East,55.3520713,-160.4773267,
AK0101,Sand Point Community/School Library,Library System,123 Red Cove Road,Sand Point,AK,99661,(907) 383-2393,Aleutians East,55.3520713,-160.4773267,
AK0136-001,Scammon Bay Public Library,Central Library,103 Main Street,Scammon Bay,AK,99662,(907) 558-5400,Wade Hampton,61.8421358,-165.5831582,
AK0136,Scammon Bay Public Library,Library System,103 Main Street,Scammon Bay,AK,99662,(907) 558-5400,Wade Hampton,61.8421358,-165.5831582,
AK0041-003,Selawik Davis Ramoth Community Library,Branch Library,2600 Musk Ox Parkway,Selawik,AK,99770,(907) 484-2142,Northwest Arctic,66.6038889,-160.0069444,LOCALITY: APPROXIMATE
AK0064-002,Seldovia Public Library,Central Library,260 Seldovia Street,Seldovia,AK,99663,(907) 234-7662,Kenai Peninsula,59.4388022,-151.714367,
AK0064,Seldovia Public Library,Library System,260 Seldovia Street,Seldovia,AK,99663,(907) 234-7662,Kenai Peninsula,59.4388022,-151.714367,
AK0065-002,Seward Community Library Museum,Central Library,238 5Th Avenue,Seward,AK,99664,(907) 224-4008,Kenai Peninsula,60.10261,-149.4388327,
AK0065,Seward Community Library Museum,Library System,238 5Th Avenue,Seward,AK,99664,(907) 224-4008,Kenai Peninsula,60.10261,-149.4388327,
AK0120-001,Innoko River Community/School And Tribal Library,Central Library,101 Pine Street,Shageluk,AK,99665,(907) 473-8206,Yukon-Koyukuk,62.6459872,-159.5313255,POSTAL_CODE: APPROXIMATE
AK0120,Innoko River Community/School And Tribal Library,Library System,101 Pine Street,Shageluk,AK,99665,(907) 473-8206,Yukon-Koyukuk,62.6459872,-159.5313255,POSTAL_CODE: APPROXIMATE
AK0067-002,Kettleson Memorial Library,Central Library,320 Harbor Drive,Sitka,AK,99835,(907) 747-8708,Sitka,57.0493843,-135.33479,
AK0067,Kettleson Memorial Library,Library System,320 Harbor Drive,Sitka,AK,99835,(907) 747-8708,Sitka,57.0493843,-135.33479,
AK0068-002,Skagway Public Library,Central Library,769 State Street,Skagway,AK,99840,(907) 983-2665,Skagway-Angoon,59.4571281,-135.3145246,
AK0068,Skagway Public Library,Library System,769 State Street,Skagway,AK,99840,(907) 983-2665,Skagway-Angoon,59.4571281,-135.3145246,
AK0069-002,Soldotna Public Library,Central Library,44332 Sterling Highway,Soldotna,AK,99669,(907) 262-4227,Kenai Peninsula,60.4854662,-151.0674277,
AK0069,Soldotna Public Library,Library System,44332 Sterling Highway,Soldotna,AK,99669,(907) 262-4227,Kenai Peninsula,60.4854662,-151.0674277,
AK0047-003,South Naknek Public Library,Branch Library,1 School Road,South Naknek,AK,99670,(907) 246-6513,Bristol Bay,58.732181,-157.0066661,
AK0114-002,St. George Island School/Community Library,Central Library,No. 1 Elementary School Road,St. George,AK,99591,(907) 546-3324,Aleutians West,56.5888398,-169.6145849,
AK0114,St. George Island School/Community Library,Library System,No. 1 Elementary School Road,St. George,AK,99591,(907) 546-3324,Aleutians West,56.5888398,-169.6145849,
AK0061-002,St. Paul Island School/Community Library,Central Library,930 Tolstoi Boulevard,St. Paul,AK,99660,(907) 546-3324,Aleutians West,57.1214901,-170.2802492,
AK0061,St. Paul Island School/Community Library,Library System,930 Tolstoi Boulevard,St. Paul,AK,99660,(907) 546-3324,Aleutians West,57.1214901,-170.2802492,
AK0002-008,Muldoon Neighborhood Library,Branch Library,1251 Muldoon Road,"Suite 158, Anchorage",AK,99504,(907) 343-4223,Anchorage,61.2106682,-149.7305483,
AK0070-002,Sutton Library/Community Resource Center,Central Library,11301 North Chickaloon Way,Sutton,AK,99674,(907) 745-4467,Matanuska-Susitna,61.7107493,-148.8766133,
AK0070,Sutton Library/Community Resource Center,Library System,11301 North Chickaloon Way,Sutton,AK,99674,(907) 745-4467,Matanuska-Susitna,61.7107493,-148.8766133,
AK0072-002,Talkeetna Public Library,Central Library,23151 South Talkeetna Spur Road,Talkeetna,AK,99676,(907) 733-2359,Matanuska-Susitna,62.3131236,-150.1064187,STREET_ADDRESS: ROOFTOP
AK0072,Talkeetna Public Library,Library System,23151 South Talkeetna Spur Road,Talkeetna,AK,99676,(907) 733-2359,Matanuska-Susitna,62.3131236,-150.1064187,STREET_ADDRESS: ROOFTOP
AK0073-002,Tanana Community/School Library,Central Library,89 Front Street,Tanana,AK,99777,(907) 366-7356,Yukon-Koyukuk,64.8466622,-147.707371,ESTABLISHMENT: APPROXIMATE
AK0073,Tanana Community/School Library,Library System,89 Front Street,Tanana,AK,99777,(907) 366-7356,Yukon-Koyukuk,64.8466622,-147.707371,ESTABLISHMENT: APPROXIMATE
AK0074,Dermott O'toole Memorial Library,Library System,702 West Tenakee Avenue,Tenakee Springs,AK,99841,(907) 736-2243,Skagway-Angoon,57.7801989,-135.2230539,STREET_ADDRESS: RANGE_INTERPOLATED
AK0074-002,Dermott O'toole Memorial Library,Central Library,702 West Tenakee Avenue,Tenakee Springs,AK,99841,(907) 736-2243,Skagway-Angoon,57.7808333,-135.2188889,
AK0130-001,Thorne Bay Public Library,Central Library,120 Freeman Drive,Thorne Bay,AK,99919,(907) 828-3303,Pr Wales-Outer Ke,55.6881197,-132.5240286,STREET_ADDRESS: RANGE_INTERPOLATED
AK0130,Thorne Bay Public Library,Library System,120 Freeman Drive,Thorne Bay,AK,99919,(907) 828-3303,Pr Wales-Outer Ke,55.6881197,-132.5240286,
AK0135-001,Togiak Public Library And Cultural Center,Central Library,Second Avenue And G Street,Togiak,AK,99678,(907) 493-5566,Dillingham,59.0600189,-160.3794983,
AK0135,Togiak Public Library And Cultural Center,Library System,Second Avenue And G Street,Togiak,AK,99678,(907) 493-5566,Dillingham,59.0600189,-160.3794983,
AK0075-002,Tok Community Library,Central Library,Mile 1314 Alaska Highway,Tok,AK,99780,(907) 883-5623,Se Fairbank,63.3350027,-142.9816938,STREET_ADDRESS: ROOFTOP
